headword	collocate_count	mismatch_count	mismatch_ratio
pasat	100	100	1
^1laboratoire	100	100	1
^4institute	100	100	1
lms_baye	100	100	1
catherine	100	100	1
castel	100	100	1
nielsen	100	100	1
castro	100	100	1
gifford	100	100	1
fssb	100	100	1
newport	100	100	1
^matsumoto	100	100	1
^diamond	100	100	1
parra	100	100	1
eduardo	100	100	1
universiteit	100	100	1
^searle	100	100	1
^nagy	100	100	1
-sánchez	100	100	1
bellugi	100	100	1
berthoz	100	100	1
pardo	100	100	1
marchetti	100	100	1
netherlands	100	100	1
^carpenter	100	100	1
downey	100	100	1
moore	100	100	1
geisler	100	100	1
wardle	100	100	1
^australian	100	100	1
hajcak	100	100	1
floyd	100	100	1
seoul	100	100	1
picard	100	100	1
lakoff	100	100	1
fn400	100	100	1
paula	100	100	1
angela	100	100	1
angelo	100	100	1
^festinger	100	100	1
ooot	100	100	1
altenmüller	100	100	1
^jacobson	100	100	1
johnstone	100	100	1
deloache	100	100	1
latham	100	100	1
mikulincer	100	100	1
swami	100	100	1
swann	100	100	1
^gross	100	100	1
swain	100	100	1
nstim	100	100	1
brazilians	100	100	1
jolles	100	100	1
chung	100	100	1
^mcnamara	100	100	1
rakic	100	100	1
marler	100	100	1
moran	100	100	1
universität	100	100	1
^wolfe	100	100	1
^wolff	100	100	1
fwhm	100	100	1
markus	100	100	1
franklin	100	100	1
morey	100	100	1
cicchetti	100	100	1
kadosh	100	100	1
thibaut	100	100	1
hurlburt	100	100	1
friedrich	100	100	1
lemaire	100	100	1
edwards	100	100	1
leslie	100	100	1
melissa	100	100	1
^haggard	100	100	1
^decety	100	100	1
^douglas	100	100	1
^o’neill	100	100	1
orcs	100	100	1
ilaria	100	100	1
bonaiuto	100	100	1
pavia	100	100	1
williamson	100	100	1
andersen	100	100	1
^demerouti	100	100	1
^walker	100	100	1
thissen	100	100	1
^schaufeli	100	100	1
^neff	100	100	1
^ulrich	100	100	1
sinclair	100	100	1
ramon	100	100	1
huang	100	100	1
germans	100	100	1
colorado	100	100	1
ramos	100	100	1
lichtenstein	100	100	1
^benedek	100	100	1
^armstrong	100	100	1
luxembourgish	100	100	1
kimberly	100	100	1
payne	100	100	1
marina	100	100	1
marino	100	100	1
marion	100	100	1
arbib	100	100	1
correlates	100	100	1
^gawronski	100	100	1
heider	100	100	1
funke	100	100	1
copsoq	100	100	1
hyönä	100	100	1
^podsakoff	100	100	1
marian	100	100	1
dawkins	100	100	1
serra	100	100	1
^mcdaniel	100	100	1
^glenberg	100	100	1
^robertson	100	100	1
dowker	100	100	1
percept.	100	100	1
raudenbush	100	100	1
villa	100	100	1
morin	100	100	1
^wang	100	100	1
rickard	100	100	1
swets	100	100	1
kelley	100	100	1
^bar	100	100	1
keller	100	100	1
morra	100	100	1
arabs	100	100	1
^bem	100	100	1
linguistics	100	100	1
tiggemann	100	100	1
^zimmerman	100	100	1
vries	100	100	1
vroomen	100	100	1
sakamoto	100	100	1
mohamed	100	100	1
^friston	100	100	1
^dennett	100	100	1
universitat	100	100	1
rutgers	100	100	1
learners	100	100	1
missouri	100	100	1
vrije	100	100	1
^koenig	100	100	1
cleveland	100	100	1
^cai	100	100	1
^cao	100	100	1
assoc.	100	100	1
moura	100	100	1
knoblich	100	100	1
psychother	100	100	1
^simpson	100	100	1
physics	100	100	1
peeters	100	100	1
bidelman	100	100	1
pulvermüller	100	100	1
faubert	100	100	1
^cox	100	100	1
princeton	100	100	1
münte	100	100	1
lozano	100	100	1
microdyn	100	100	1
hubei	100	100	1
hubel	100	100	1
^allport	100	100	1
ijzendoorn	100	100	1
^day	100	100	1
^heine	100	100	1
ziegler	100	100	1
^kahneman	100	100	1
humanities	100	100	1
jamieson	100	100	1
magnuson	100	100	1
giorgio	100	100	1
tanaka	100	100	1
hangzhou	100	100	1
resnick	100	100	1
eigenvalues	100	100	1
^hatfield	100	100	1
conners	100	100	1
sutter	100	100	1
andersson	100	100	1
mcdaniel	100	100	1
sutton	100	100	1
lakatos	100	100	1
^blanco	100	100	1
instr.	100	100	1
^hansen	100	100	1
paulus	100	100	1
^fodor	100	100	1
fidell	100	100	1
^rothbart	100	100	1
^webb	100	100	1
^fan	100	100	1
giacomo	100	100	1
^west	100	100	1
naples	100	100	1
^young	100	100	1
^well	100	100	1
^kashdan	100	100	1
^fox	100	100	1
herzog	100	100	1
^fry	100	100	1
kathryn	100	100	1
raquel	100	100	1
lms_boot	100	100	1
^gao	100	100	1
hoffmann	100	100	1
^fernandez	100	100	1
jorgensen	100	100	1
^robert	100	100	1
darley	100	100	1
^gil	100	100	1
k’iche	100	100	1
florian	100	100	1
saffran	100	100	1
kandel	100	100	1
meiran	100	100	1
statistics	100	100	1
stadler	100	100	1
monolinguals	100	100	1
^rietveld	100	100	1
portia	100	100	1
shahar	100	100	1
^peterson	100	100	1
kujala	100	100	1
brugger	100	100	1
gary	100	100	1
^nicholl	100	100	1
^hay	100	100	1
merker	100	100	1
abernethy	100	100	1
gbdh	100	100	1
biederman	100	100	1
^petersen	100	100	1
dunlap	100	100	1
christophe	100	100	1
^hsu	100	100	1
perlman	100	100	1
^norman	100	100	1
domínguez	100	100	1
kearney	100	100	1
williamon	100	100	1
ipvaw	100	100	1
lleras	100	100	1
ravlt	100	100	1
barrouillet	100	100	1
univ.	100	100	1
castelli	100	100	1
eduball	100	100	1
^twenge	100	100	1
^ito	100	100	1
leibniz	100	100	1
^bennett	100	100	1
killen	100	100	1
verbruggen	100	100	1
^skinner	100	100	1
arima	100	100	1
arial	100	100	1
psicol	100	100	1
ariel	100	100	1
shanxi	100	100	1
^jia	100	100	1
^jin	100	100	1
riccardo	100	100	1
tiffany	100	100	1
^dijkstra	100	100	1
^wagenmaker	100	100	1
^hillman	100	100	1
macedonia	100	100	1
navarro	100	100	1
^kabat	100	100	1
jimenez	100	100	1
hastie	100	100	1
jiménez	100	100	1
inadvance	100	100	1
^ortega	100	100	1
-bocs	100	100	1
^kim	100	100	1
gen.	100	100	1
geng	100	100	1
fitzpatrick	100	100	1
pecher	100	100	1
lewandowsky	100	100	1
hasson	100	100	1
hassan	100	100	1
geva	100	100	1
willoughby	100	100	1
^lam	100	100	1
^lan	100	100	1
^lai	100	100	1
^vuilleumier	100	100	1
^law	100	100	1
^lau	100	100	1
^connolly	100	100	1
^lee	100	100	1
lefebvre	100	100	1
rauschecker	100	100	1
^liu	100	100	1
^lim	100	100	1
^lin	100	100	1
lindenberger	100	100	1
pennebaker	100	100	1
scores	100	100	1
bremen	100	100	1
stirling	100	100	1
^hurlburt	100	100	1
aires	100	100	1
^vansteenkiste	100	100	1
theeuwes	100	100	1
arntz	100	100	1
tsang	100	100	1
^griffin	100	100	1
^o's	100	100	1
fujita	100	100	1
shulman	100	100	1
paap	100	100	1
lupyan	100	100	1
kobayashi	100	100	1
paes	100	100	1
kühn	100	100	1
^wong	100	100	1
zacher	100	100	1
hutchison	100	100	1
^wolf	100	100	1
palo	100	100	1
wakefield	100	100	1
^sheldon	100	100	1
ricardo	100	100	1
coaches	100	100	1
melanie	100	100	1
^rizzolatti	100	100	1
bratman	100	100	1
arndt	100	100	1
fujian	100	100	1
manzano	100	100	1
