corpus: preloaded/doaj_en
subcorpus: -
size: 10000
query: Query:[word="we"] []? [word="aimed|wanted"] [word="to"] [tag="VV"], Random sample:10000
PLoS ONE | <s> Since the evidence presented above situates the induction of innate immunity by O. anthropi between those elicited by enteric bacteria and B. abortus, we wanted to know whether this was also true in these cells. </s> 
Journal of Clinical Medicine | <s> In this study, we aimed to understand the factors that affect a young basketball player's decision to wear an ASD by way of an HBM guided questionnaire. </s> 
Türk Oftalmoloji Dergisi | <s> With this case report, we aimed to discuss multifocal electroretinogram (mfERG) and electroretinogram (ERG) in BCD. </s> 
PLoS ONE | <s> Here, we aimed to unravel the mechanism underlying this PLoS ONE | www.plosone.org </s> 
ZooKeys | <s> Because in both the graph of PC1 on PC2 and PC1 on PC3, but especially in PC1 on PC2 we obtained a relatively clear separation between the specimens from France and specimens from Italy, we wanted to see if there is a significant difference between these two populations. </s> 
PLoS ONE | <s> A SUMO-E2-fusion system to facilitate SUMOylation of suboptimal targets Having confirmed the functionality of the humanized SUMOylation system in E.coli, we aimed to optimize its robustness for targets, requiring a SUMO-E3 ligase for efficient modification, by expressing the target protein as a fusion with the SUMOconjugating enzyme [21]. </s> 
International Brazilian Journal of Urology | <s> Because IIP is also an ischemic vascular disease, we aimed to determine whether a relationship exists between MPV and veno-occlusive component of IIP in this study. </s> 
Informing Science The International Journal of an Emerging Transdiscipline | <s> Because this research involved many sites and multiple interviewers, and because we wanted to maintain cross-case comparability (Hofstede 1991; Miles & Huberman, 1994), we felt it especially important to use a similar format for all our interviews. </s> 
Behavioural Neurology | <s> However the origin of these reported side effects are still debated, we aimed to clarify effect of levetiracetam on sleep. </s> 
PLoS ONE | <s> Given the possible important role of circulating miRNAs in the regulation of the pathophysiology of various diseases and their potential as disease biomarkers or therapeutic targets, in this study, we aimed to profile the expression of circulating miRNAs in a mouse model of CLP-induced sepsis. </s> 
Frontiers in Human Neuroscience | <s> Second, we aimed to assess the relationship between emotion regulation strategies and task-switching abilities. </s> 
PLoS ONE | <s> Therefore, we aimed to investigate the effects of TACE-inhibition in two commonly used models of obesity and hepatic steatosis. </s> 
PLoS ONE | <s> Neuronal Maturation with Astrocyte Co-culture Lastly, we aimed to address the possible benefits of astrocyte coculture on differentiation, i.e. if we could accelerate maturation of neuronal cultures before day 100. </s> 
PLoS Genetics | <s> Because polyene antibiotics typically exert their effects on the cellular membrane, we wanted to determine if LDA resistant alleles of yfiJK provide B. subtilis with a generalizable cross resistance to membrane-active antibiotics. </s> 
Frontiers in Computational Neuroscience | <s> Since we wanted to characterize the amount of activity in dendritic currents due to synaptic stimulation we used information theory measurements. </s> 
PLoS ONE | <s> Knowing that fmr1 KO mice have a mild motor learning deficit and impairments in motor learning-induced dendritic spine structural plasticity [18], we wanted to investigate whether fmr1 KO mice also had a deficit in the motor training-induced clustering of new dendritic spines. </s> 
International Journal of Collaborative Research on Internal Medicine & Public Health | <s> Aim: In this study, we aimed to evaluate the rate of complications after thyroid surgery and the risk factors contributing to the complications. </s> 
Annals of the University of Petrosani : Economics | <s> Trough the qualitative exploratory research we aimed to achieve several objectives like: a diagnostic of the needs of competences and qualifications of the labour force in order to adapt it to the labour market. </s> 
Acta Universitatis Danubius : Oeconomica | <s> Thus, we aimed to verify the following hypothesis capable, and we consider developing the current state of knowledge: H1: The balance between diversity of researches and specializations can lead to innovation only if the partnership between the public sector and the private sector is sufficiently promoted by the state through public policies. </s> 
PLoS ONE | <s> Based on the differentially-expressed miRNA data presented in this study, we wanted to investigate (as a first-step approach) potential cellular pathways that may be regulated by the groups of miRNAs expressed more highly in progenitor, differentiated or hypertrophic chondrocytes. </s> 
International Journal of Environmental Research and Public Health | <s> Moreover, we aimed to evaluate two screening instruments performance among this population. 2. </s> 
BMC Cell Biology | <s> Therefore, we wanted to rule out that the absence of Mcm10 signal was due to limited immunoreactivity of the antibody used by us. </s> 
PLoS ONE | <s> Radiation induces hyperactivation of the mTOR pathway 4–5 days following treatment Next, we aimed to determine if activation of the mTOR pathway was elevated following targeted head and neck radiation as this pathway has an intricate relationship with proliferation indices and autophagy. </s> 
PLoS Genetics | <s> Early Endocardial Precursors Express a VEGF Receptor Gene That Has Been Lost during Mammalian Evolution To be able to examine the early endocardial defects observed in tal1t21384 mutants, we aimed to develop several markers for endocardial morphogenesis. </s> 
PLoS ONE | <s> Secondly, we aimed to define 'allowable' or 'expected' intraoperative TMPG for edge-to-edge MV repairs to facilitate intraoperative communication regarding PLOS ONE | www.plosone.org </s> 
PLoS ONE | <s> By maintaining flies in mixed sex groups for different durations we wanted to find out if changes in circadian activity rhythm occur, and how many days of SSI are needed to make an appreciable impact. </s> 
PLoS ONE | <s> Therefore, we aimed to analyze in this study the real-life prevalence and predictive factors of mucosal healing in IBD </s> 
PLoS ONE | <s> In this study, we aimed to investigate the efficacy of currently approved and widely used anticoagulant drugs by performing in vitro thrombin generation tests in plasma of patients with cirrhosis. </s> 
Journal of Pathogens | <s> In the present study, we wanted to address the correlation between different groups and genotypes of S. suis serotype 2 for future epidemiological studies. </s> 
Natural Hazards and Earth System Sciences Discussions | <s> However, the crucial argument after the choice of the parent distribution was the pioneering works of Frances et al. (1994) that we wanted to continue and develop. </s> 
PLoS ONE | <s> Since CTRwt and CTRΔESS had dramatically different effects on TER, PCP and invasion, we wanted to make certain that the variances were not due to the differences in their CTR levels. </s> 
PLoS ONE | <s> Therefore, we aimed to compare changes in SAA blood concentration among racehorses diagnosed with different types of stress-related injuries of musculoskeletal system and healthy racehorses subjected to exercise. </s> 
PLoS ONE | <s> Here we wanted to test whether a low calcium environment also blocks LTM 6 </s> 
PLoS ONE | <s> Here we wanted to assess whether crowding also blocks memory formation in the TC1 and CM populations. </s> 
Brazilian Journal of Medical and Biological Research | <s> Hence, in the present study, we aimed to evaluate the long-term efficacy and risk factors of traditional OSR vs TEVAR for complicated TBAD. </s> 
PLoS Computational Biology | <s> Although such configurations are not unheard of even in our world, we wanted to see how such features would in general affect dynamical coexistence of template replicators. </s> 
PLoS ONE | <s> Given our findings that perimeter and solidity are associated with future fission and fusion events, we wanted to investigate whether mitochondria undergo dynamic morphological changes in preparation for these events. </s> 
PLoS ONE | <s> Therefore, we aimed to assess whether bats have cones, a prerequisite for daylight and colour vision, and whether the cones express different types of opsins. </s> 
PLoS ONE | <s> Furthermore, we aimed to demonstrate UV sensitivity by sequencing the tuningrelevant segment of the S opsin gene and by corneal electroretinograms, measuring retinal action spectra S(l) with and without chromatic adaptation. </s> 
PLoS ONE | <s> Here we specifically aimed to differentiate between the PP and RR subtypes of MScl by comparing CSF proteins. </s> 
Journal of Systemics, Cybernetics and Informatics | <s> Similar to participatory design methods we wanted to get requirements for simulations from representatives of our potential user group, and get their perceptions on what they expected from a software curricula aid and ideas for simulations. </s> 
South African Journal of Science | <s> High gas pressure is necessary to ensure that excimer formation is faster than radiative decay,1 whilst the small radiative lifetime and broad spectral width of excimer bound-free transitions require a high-excitation power density.2 Excimer lamps radiate in the UV and vacuum ultraviolet (VUV) spectral bands as a result of radiative decay of exciplex and excimer molecules.3 In this study, we aimed to develop an efficient VUV source and to determine the optimum operating conditions for VUV generation. </s> 
BMC Bioinformatics | <s> First, we wanted to show the ability of our proposed method, SC intuit , to discriminate between the relative importance of poorly-conserved positions and well-conserved positions comparing it with the most representative scoring methods: i) SC indep , a probabilistic method that assumes positional independence; ii) SC dep , a scoring method proposed by Tomovic and Oakeley that take into account statistical interdependencies between TFBS positions [ 14 ]; and iii) SC mat , a scoring function proposed by Zare-Mirakabad et al. based on the dependency between all pairwise combinations of binding site positions [ 15 ]. </s> 
Essachess : Journal for Communication Studies | <s> Instead, we aimed to capture how the notion of environmental nuisance is socially constructed, how it is defined in terms of how people experience it and what they know or believe about the impacts of the problem. </s> 
PLoS ONE | <s> Therefore, we wanted to check whether this topographical increase in gamma power was paralleled by a difference in the non-normalized gamma power between groups. </s> 
Journal of Financial Therapy | <s> Moreover, we wanted to simulate a real decision dilemma and eliminate the desire to establish a joint household as an influence on the willingness to move. </s> 
Advances in Multimedia | <s> in Sections 4.2 to 4.4, we wanted to study packet loss independent of buffer size and therefore a large enough buffer size of 65 536 was used. 4.2. </s> 
PLoS Genetics | <s> Increased L5-copy number does not alter the heterochromatin domain Having demonstrated the impact of genome sequence on the extent of spreading from a heterochromatin-nucleating sequence, we wanted to determine whether changes to the sequence content, in terms of L5 copy number, would alter the properties of a de novo heterochromatin domain. </s> 
Advances in Human-Computer Interaction | <s> This was important, as we wanted to support children's independent exploration. </s> 
PLoS ONE | <s> Based on comparisons of present time modeled distributions and distributions projected to the future, we aimed to answer the following questions: (1) What is the potential magnitude of change in the size of suitable climatic area for each species?; (2) What is the potential number of currently known populations of each species that would be located in non-suitable climatic conditions in the future (i.e., the potential loss of known populations)?; (3) Is the reduction in suitable areas related to Major Habitat Type, original range size or phylogeny (inferred from species groups); and (4) Can we rank species and 
Pakistan Journal of Analytical and Environmental Chemistry | <s> In the present study, we aimed to evaluate the Pb exposure for primary school children, not adequately discussed so far. </s> 
PLoS ONE | <s> However, we also wanted to determine if nobiletin could decrease these mediators in tissues from spontaneous preterm birth. </s> 
PLoS Genetics | <s> To determine the interaction between OSD1 and UVI4, we aimed to produce a double osd1/uvi4 mutant. </s> 
PLoS Biology | <s> Because the mechanism is epigenetic and can differ from cell to cell, we wanted to assess the dynamics of the process by tracking individual cells over multiple generations. </s> 
PLoS ONE | <s> Antibody promotes DENV-induced IL-1β secretion by primary monocytes infected with purified virus Though the identity of the inflammatory component present in DIV crude supernatant remained unclear, we wanted to assess if purification of DENV virions away from other supernatant components would alter the secretion of IL-1β. </s> 
PLoS ONE | <s> In particular we aimed to assess whether 1) mosquitofish can be trained to discriminate quantities beyond the small quantity range, 2) they spontaneously rely on number or on continuous cues that co-vary with number and if these cues are the same used in the 2 vs. 3 discrimination, 3) there is an upper limit in the number of objects that can be processed by fish, and 4) as in mammals, performance is affected by the ratio between the numerosities to compare. </s> 
PLoS ONE | <s> To answer this question we aimed to create variants of ClpP1 and ClpP2 with impaired chaperone binding. </s> 
Evidence-Based Complementary and Alternative Medicine | <s> In this study, we aimed to study new approaches that could alter uncontrolled human bladder TCC growth by modulating cell-cycle regulators causing cell-cycle arrest and could be useful in human bladder cancer prevention. </s> 
PLoS ONE | <s> Since high productivity is associated with particular cell responses and different transcriptomic states [18,25], we aimed to analyze and illustrate the effects of TDS on the transcriptomic profile of CHO TF70R cells. </s> 
PLoS ONE | <s> Therefore, we wanted to know whether or not this observation holds true for other PS, for other prostate cancer cell lines, for tumor cells of another tissue origin and for tumors in vivo. </s> 
PLoS Genetics | <s> Comparison of embryo morphology between the species gives a crude factor of about ×1.3–1.4 between Pl and Sp developmental rates (Fig 1A), however we wanted to use our data to improve this estimation and base it on measured molecular progression. </s> 
PLoS ONE | <s> Thus, we aimed to determine the role of adenosine in barrier regulation of VVEC isolated from the pulmonary arteries of normoxic (VVEC-Co) or chronically hypoxic (VVEC-Hyp) neonatal calves. </s> 
Annals of the University of Oradea. Fascicle of Textiles, Leatherwork | <s> The sample was formed of 851 pupils in the 12th grade from Bihor County, which consisted of classes from both rural and urban environment, boys and girls; we also wanted to see if religion influences in any way the expectances concerning the new profession, so within the study there were also pupils who study in confessional high-schools. </s> 
BioMed Research International | <s> In particular, we wanted to see L-DOPA actions at a stage considered as early Parkinsonian and determine whether it can dissolve the dominant network state [ 3 ]. </s> 
PLoS ONE | <s> Here, we aimed to employ this novel methodology to analyze sepsis-induced (nano-) mechanical changes of the eGC ex vivo and in vitro for the first time. </s> 
International Journal of Molecular Sciences | <s> Hence, we aimed to investigate the association between PDCD1 and SLE susceptibility in the Malaysian population. </s> 
PLoS ONE | <s> Since we primarily aimed to model variation in mature survival after recruitment (Sm), immaturity was regarded an unobservable state with zero resighting probability (pi = 0). </s> 
PLoS ONE | <s> Because rates of type 2 diabetes are on the rise, we wanted to determine whether salicylate could improve insulin resistance in a type 2 rat model, as well as improve retinal function. </s> 
PLoS ONE | <s> Additionally, we wanted to test the effects of salicylate therapy on insulin signaling cascades on 2 key retinal cell types involved in diabetic retinopathy, the Müller cell and retinal endothelial cell. </s> 
JCOM: Journal of Science Communication | <s> One of them is that we wanted to analyze a period of one month as an exploratory study, aiming to evaluate if a broader project on the Latin American coverage of science would make sense; in fact, we found interesting data, which leaded us later to consolidate a study involving nine countries in the region and an one-year analysis period ([12],[15]). </s> 
JCOM: Journal of Science Communication | <s> Final considerations In this article, we aimed to analyze the process of accommodation of scientific information from its original source – in this case, a scientific article – until the point in which it is transformed into a journalistic article. </s> 
PLoS ONE | <s> Because the apoptosis system has been shown to be involved in structural regression of CL in many species, we aimed to investigate the capacity of perCL to undergo apoptosis. </s> 
Pesquisa Operacional | <s> In the MOSP we wanted to determine a permutation of the patterns that indicates the sequence in which they should be cut, so as to minimize the maximum number of open stacks during the cutting process. </s> 
PLoS ONE | <s> Because our main focus was the 50%–50% stimuli and because the experiment lasted around 35 minutes, we wanted to reduce as much as possible the number of less relevant stimuli (40%–60% and 60%-40%). </s> 
Journal of Statistical Software | <s> because neither of us were expert programmers, and no extensible high-level software for the type of graphics we wanted to use was available. </s> 
Dicle Medical Journal | <s> In this study, we aimed to determine the clinical and histopathological presentations, and tumor localizations of the patients with GIST. </s> 
PeerJ | <s> As we wanted to test the transfer of learning from forward to backward movements, it was necessary to exclude subjects who did not show any learning in the forward movements. </s> 
PeerJ | <s> At the same time, we wanted to exclude quivering movements as well as 'false starts' from the trials entering the analysis. </s> 
International Journal of Environmental Research and Public Health | <s> Novel Object Recognition Test In the present study, we used a novel object recognition test because we wanted to focus on the effects of DE-SOA exposure on cognitive functions. </s> 
PLoS ONE | <s> The dataset employed in our study is phylogenetically broader and more comprehensive than that of previous studies as we aimed to see whether claw geometry varied independently of phylogenetic control. </s> 
PLoS ONE | <s> The algorithm was implemented as an R package, named ''binstrain'', publicly available at https://github.com/benliemory/BinStrain. In this pilot study, we aimed to capture a 100 kb contiguous section of the C. trachomatis genome (genomic locations 100,000– 200,000 in the D/UW-3/CX strain [24]; Figure S1 in File S1). </s> 
PLoS ONE | <s> Therefore, we aimed to investigate the possible relationship between these CISH polymorphisms (rs622502, rs2239751, rs414171 and rs6768300) and the different outcomes of HBV infection in Chinese Han population. </s> 
PLoS ONE | <s> First, because we aimed to explore new biomarkers, our findings need validation in additional cohorts. </s> 
PLoS ONE | <s> Therefore, we wanted to know how the lack of MeCP2 might interfere with differentiation of ES cells. </s> 
BioMed Research International | <s> Overall, we aimed to capture a representative sample of stroke patients which would typically include those who engage in behaviour that can contribute to changes in physiological arousal such as medication usage but are not directly related to their stroke per se. </s> 
PLoS ONE | <s> In this meta-analysis, by searching individual dataset from all eligible case-control studies published to date, we aimed to estimate the role of hOGG1 Ser326Cys polymorphism in the risk of ESCC as well as to quantify the between-study heterogeneity and potential bias. </s> 
PLoS ONE | <s> Here we wanted to study the role of SRC-2 and the functional relevance of the PKA-mediated regulation of SRC-2 on gene expression in MCF-7 human breast cancer cells. </s> 
PLoS ONE | <s> Estrogen-responsive Genes Regulated Through cAMP/ PKA-mediated Degradation of SRC-2 Next we wanted to verify whether the expression of the selected overlapping genes was regulated through PKA-mediated degradation of SRC-2. </s> 
PLoS ONE | <s> Since SRPN6 activity has previously been implicated in the mosquito antiPlasmodium immune response [19,20], we wanted to evaluate the contribution of AsSRPN6 toward this bacterial-induced resistance. </s> 
PLoS ONE | <s> Here, such manipulation was incompatible with our goal because we wanted to mix distracted and attentive trials. </s> 
PLoS Computational Biology | <s> DivE Frequency Distribution Generation Algorithm In addition to species richness, we wanted to estimate the population frequency distribution. </s> 
Critical Care Research and Practice | <s> Furthermore we wanted to assess the influence of this SOP on ICP levels, ventilator dependency, and the length of ICU stay. </s> 
PLoS ONE | <s> Therefore, we here aimed to examine the impact of acute unilateral, muscle-specific overexpression of DGAT1 in adult rats on skeletal muscle lipid metabolism. </s> 
PLoS ONE | <s> Because multivariate analysis with 2 variables was scheduled, we aimed to recruit at least 20 patients with BHR. </s> 
PLoS ONE | <s> In the present study, we aimed to describe the realized niche of the mussel M. trossulus in the northeastern Baltic Sea, both in terms of distribution and the size of populations. </s> 
PLoS ONE | <s> Here, we aimed to clarify the influence of social status as manipulated through episodic learning by focusing on an analysis of temporal dynamics. </s> 
PLoS ONE | <s> Since p38 MAPK inhibition resulted in reduced blastocyst expansion, we wanted to investigate whether this was linked to impaired TE differentiation or improper TE polarization (Figure 2). </s> 
PLoS Pathogens | <s> Next we wanted to investigate whether vMIP-II which is secreted following KSHV infection can block NK cell migration. </s> 
PLoS Pathogens | <s> Additionally, we aimed to delineate the significance of our findings to native infectious settings. </s> 
PLoS Neglected Tropical Diseases | <s> Although ssrRNA conventional PCR protocols have shown high sensitivity and specificity for malaria detection, we aimed to develop a novel P. ovale-specific assay based on a gene target that is found only in P. ovale and is absent from other malaria species infecting humans. </s> 
PLoS ONE | <s> Given the high n-value of the analysis and stringent array analysis criteria we wanted to reduce any variability in gene expression due to these factors in order to only identify specific and significant gene differences that can be applied to a larger population. </s> 
PLoS ONE | <s> Calculation of Specificity and Sensitivity The different metrics of RNA-seq SNP detection that we wanted to measure were the number of SNPs called per sample and the specificity and sensitivity of those SNP calls. </s> 
PLoS ONE | <s> Considering the importance of the three Mycoplasma species that inhabit the swine respiratory tract and the limited knowledge available regarding mycoplasma transcriptional regulation, we aimed to analyze the whole transcriptomes of M. hyopneumoniae, M. flocculare and M. hyorhinis. </s> 
PLoS ONE | <s> In the current study, we aimed to investigate whether chronic administration of RSV protects pancreatic islets and improves glycemia in db/db mice, a well-accepted and most widely used mouse model of type 2 diabetes. </s> 
PLoS ONE | <s> Although CDC stage B and C and CD4,25% were exclusion criteria in the CHER study, we wanted to allow for the natural disease progression in the pre-ART period to occur to avoid over-estimating the benefits of the intervention. </s> 
Case Reports in Orthopedics | <s> With this report we aimed to present a 46-year-old female patient who is diagnosed with a possible Li-Fraumeni syndrome with four primary malignant tumors, one of which </s> 
PLoS ONE | <s> set up as compounds as we wanted to focus on compounds and reactions instead of the usual approach using genes. </s> 
PLoS ONE | <s> For our expression data, we wanted to include time as a variable in our analysis so we modified GSEA to use it instead of removing it by averaging them. </s> 
PLoS ONE | <s> By comparing the illusory doubling perception in the more affected and the less or unaffected hand of the PD patients, we wanted to disentangle the role motor symptoms may play in this kind of tactile perception. </s> 
PLoS Biology | <s> To gain insight into the physiological processes that hug-expressing neurons (referred to as hug neurons) could be involved in, we wanted to determine their connectivity pattern. </s> 
IAENG International Journal of Computer Science | <s> In particular, we wanted to examine the following aspects of the system: • Screen usage patterns and their relationship to change requests. • The prioritization of changes and the accuracy of systems estimates based on priority of changes. </s> 
PLoS ONE | <s> Since TGF-b is a key negative regulator of proliferation in the mammary epithelial compartment and induces a G1 arrest in a pRB-LXCXE-dependent manner [26], we next wanted to characterize the Neu; Rb1DL/DL genotype to ensure that this experimental system would allow us to address the role of negative growth responses during tumorigenesis as we expected. </s> 
PLoS ONE | <s> Looking at the effects of an emerging bee pathogen, Nosema ceranae, on homing performance of foraging bees, we aimed to gain a better understanding of how this invasive pathogen affects the behaviour of individual bees and may ultimately shape the performance of the entire colony, and of how this pathogen might enhance its own transmission. </s> 
PLoS ONE | <s> Therefore, to further develop the potentialities of this model, we wanted to identify in the temporal cortex of Microcebus murinus modifications in gene expression that were associated with physiological or pathological aging. </s> 
PLoS Biology | <s> To infer the minimum age of viruses that drove the evolution at residue 506, we wanted to date these adaptive changes. </s> 
Scientific Papers Series : Management, Economic Engineering in Agriculture and Rural Development | <s> To see the extent of establish a link between producer and buyer, we wanted to know if the buyers ask questions about how to make this products. </s> 
PLoS ONE | <s> Therefore, in the present study, based on our previous improved HPLC-MS/MS methods and liver biopsy, we aimed to evaluate the diagnostic ability of plasma sphingolipids to identify hepatic necroinflammation (G$2) among patients with CHC and the subgroup of patients with normal ALT levels, respectively. </s> 
Annals of the Stefan cel Mare University of Suceava : Fascicle of the Faculty of Economics and Public Administration | <s> PARTICULAR ITEMS CONCERNING THE KNOWLEDGE MANAGEMENT The main concern regarding KM that we wanted to clarify in the research was, first of all, if the Romanian companies are aware about KM content and characteristics. </s> 
Annals of the Stefan cel Mare University of Suceava : Fascicle of the Faculty of Economics and Public Administration | <s> CONCLUSIONS Without claiming a comprehensive approach, through this article, we wanted to emphasize the very important role of public finance functions in socio-economic life of a nation. </s> 
Neural Plasticity | <s> In line with the advances in PD, we aimed to investigate the metabolic and electrophysiological activities of the basal ganglia nuclei, consisting of the striatum, GP (globus pallidus, the homologue of globus pallidus externus in primates), EP (entopeduncular nucleus, rodent equivalent of the primate globus pallidus internus), substantia nigra pars compacta (SNc), and reticulata (SNr), and the STN in the tgHD rats [8]. </s> 
Evidence-Based Complementary and Alternative Medicine | <s> Since Korean red ginseng has been reported to exhibit anticancer effects, we aimed to evaluate the anti-metastatic effects of Korean red ginseng by using experimental models with SK-Hep1 cells. </s> 
Annals of the University of Oradea. Fascicle of Textiles, Leatherwork | <s> The sample was formed of 851 pupils in the 12th grade from Bihor County, which consisted of classes from both rural and urban environment, boys and girls; we also wanted to see if religion influences in any way the expectances concerning the new profession, so within the study there were also pupils who study in confessional high-schools. </s> 
PLoS ONE | <s> Predictors for balance impairment in patients with T2DM Since the presence of DN is one complication of DM and there are a series of other co-factors involved in balance impairment in these patients we aimed to evaluate which other factors are possible predictors and if considering these factors, the severity of DN keeps its influence on the balance parameters independently. </s> 
